Category,SL.No.,CITY 1,CITY 2,"PASSENGERS
 TO CITY 2","PASSENGERS
 FROM CITY 2","FREIGHT
 TO CITY 2","FREIGHT
 FROM CITY 2"
Indian Territory,50,BASRA,DELHI,5779,5809,0,0
Indian Territory,51,BIRMINGHAM,AMRITSAR,5084,6729,0.5,0
Indian Territory,52,BIRMINGHAM,DELHI,11538,13305,346.5,570.3
Indian Territory,53,BISHKEK,DELHI,4169,3859,0.2,105.4
Indian Territory,54,BRUSELLS,DELHI,0,0,0,0
Indian Territory,55,BRUSELLS,MUMBAI,11657,14590,471,757.5
Indian Territory,56,CAIRO,MUMBAI,5027,5982,36,103
Indian Territory,57,CHICAGO,DELHI,17741,24310,709.4,495.1
Indian Territory,58,CHICAGO,HYDERABAD,4617,4044,24.2,2.8
Indian Territory,59,CHITTAGONG,KOLKATA,17793,16311,0,1.7
Indian Territory,60,COLOGNE,DELHI,0,0,0,0
Indian Territory,61,COLOGNE,MUMBAI,0,0,429,836.8
Indian Territory,62,COLOMBO,BENGALURU,25819,26470,714.2,1077.2
Indian Territory,63,COLOMBO,CHENNAI,106589,106376,1374,2844.6
Indian Territory,64,COLOMBO,DELHI,21458,23747,348.5,248.7
Indian Territory,65,COLOMBO,KOCHI,25927,23812,48.4,380.9
Indian Territory,66,COLOMBO,KOLKATA,4662,4797,29.6,219
Indian Territory,67,COLOMBO,MADURAI,20747,21456,0,0
Indian Territory,68,COLOMBO,MUMBAI,37038,36892,347.2,458.6
Indian Territory,69,COLOMBO,TIRUCHIRAPALLY,26502,24824,9.2,465.2
Indian Territory,70,COLOMBO,TRIVANDRUM,16915,9783,16.2,277.4
Indian Territory,71,DAMMAM,BENGALURU,0,0,0,0
Indian Territory,72,DAMMAM,CHENNAI,0,0,0,0
Indian Territory,73,DAMMAM,DELHI,34330,25654,766.7,958.6
Indian Territory,74,DAMMAM,HYDERABAD,7773,5420,0.8,20.8
Indian Territory,75,DAMMAM,KOCHI,10282,8376,24.4,264
Indian Territory,76,DAMMAM,KOZHIKODE,16505,13628,39,207.1
Indian Territory,77,DAMMAM,MANGALORE,5960,4313,3.2,60.5
Indian Territory,78,DAMMAM,MUMBAI,19723,17765,273.2,1330.4
Indian Territory,79,DAMMAM,TRIVANDRUM,13050,10916,4.7,182.8
Indian Territory,80,DHAKA,CHENNAI,2767,2224,14.8,49.9
Indian Territory,81,DHAKA,DELHI,15866,13484,172.7,190.1
Indian Territory,82,DHAKA,KOLKATA,70319,76985,237.6,1083.9
Indian Territory,83,DHAKA,MUMBAI,13002,9233,170.6,214.4
Indian Territory,84,DOHA,AHMEDABAD,12666,13424,837.5,1245.1
Indian Territory,85,DOHA,AMRITSAR,11444,13870,5.1,39.8
Indian Territory,86,DOHA,BENGALURU,25630,22790,2154.6,3819.5
Indian Territory,87,DOHA,CHENNAI,24858,23047,4263.8,4907.9
Indian Territory,88,DOHA,DELHI,68805,68793,2364.6,5391.5
Indian Territory,89,DOHA,GOA,13155,13841,2.4,124.6
Indian Territory,90,DOHA,HYDERABAD,15431,15259,663.5,1611.5
Indian Territory,91,DOHA,KOCHI,59376,50895,243.1,2669.1
Indian Territory,92,DOHA,KOLKATA,18324,14321,992.1,1728.7
Indian Territory,93,DOHA,KOZHIKODE,37735,33648,2.4,791.7
Indian Territory,94,DOHA,MANGALORE,4503,4854,0.2,36.1
Indian Territory,95,DOHA,MUMBAI,61290,59449,4753.7,7958.9
Indian Territory,96,DOHA,NAGPUR,6500,6990,0.9,51.8
Indian Territory,97,DOHA,TRIVANDRUM,24203,21575,3,428
Indian Territory,98,DON MUEANG,BENGALURU,9839,9936,163.8,81.5
Indian Territory,99,DON MUEANG,CHENNAI,10052,9851,122.7,142
Indian Territory,100,DON MUEANG,GAYA,0,0,0,0
Indian Territory,101,DON MUEANG,KOCHI,12899,12912,0,0
Indian Territory,102,DON MUEANG,KOLKATA,13310,12577,109.1,90.6
Indian Territory,103,DUBAI,AHMEDABAD,49429,49038,755.5,2069.1
Indian Territory,104,DUBAI,AMRITSAR,26668,28093,5.5,41.6
Indian Territory,105,DUBAI,BENGALURU,103095,92951,3911.6,6764.8
Indian Territory,106,DUBAI,CHANDIGARH,11740,13721,0,0
Indian Territory,107,DUBAI,CHENNAI,126661,112820,3557,5725.5
Indian Territory,108,DUBAI,DELHI,229792,245119,3751.5,12396.6
Indian Territory,109,DUBAI,GOA,3558,3174,2.2,0
Indian Territory,110,DUBAI,HYDERABAD,126577,115885,965.4,4898
Indian Territory,111,DUBAI,JAIPUR,16997,18471,1.6,16.8
Indian Territory,112,DUBAI,KOCHI,161530,138831,1075.8,4896.1
Indian Territory,113,DUBAI,KOLKATA,39176,31798,991.4,2597.3
Indian Territory,114,DUBAI,KOZHIKODE,73975,66522,34.6,533.5
Indian Territory,115,DUBAI,LUCKNOW,20709,20220,6.3,71.5
Indian Territory,116,DUBAI,MADURAI,16036,15944,0,0
Indian Territory,117,DUBAI,MANGALORE,59057,53295,8.2,293.8
Indian Territory,118,DUBAI,MUMBAI,289623,287496,4705.6,14165
Indian Territory,119,DUBAI,PUNE,19254,19092,0,0
Indian Territory,120,DUBAI,TIRUCHIRAPALLY,13668,10998,6,49.6
Indian Territory,121,DUBAI,TRIVANDRUM,76385,67088,96.2,3294.1
Indian Territory,122,DUBAI,VISAKHAPATNAM,4576,3524,0.5,0
Indian Territory,123,DUSHANBE,DELHI,1639,1302,1.6,47
Indian Territory,124,FRANKFURT,AMRITSAR,0,0,0,0
Indian Territory,125,FRANKFURT,BENGALURU,28419,30143,2446.8,2117.9
Indian Territory,126,FRANKFURT,CHENNAI,20275,23310,1806.3,1385.8
Indian Territory,127,FRANKFURT,DELHI,48471,60381,1566.5,2421.9
Indian Territory,128,FRANKFURT,HYDERABAD,0,0,792.1,1425.8
Indian Territory,129,FRANKFURT,KOLKATA,0,0,0,0
Indian Territory,130,FRANKFURT,MUMBAI,27769,30042,4180.7,2443.1
Indian Territory,131,FRANKFURT,PUNE,4376,4270,0,0
Indian Territory,132,GUANGZHOU,DELHI,22835,25497,4559.5,500.3
Indian Territory,133,GUANGZHOU,MUMBAI,0,0,1192.9,400.9
Indian Territory,134,HAA DHAALU ATOLL,TRIVANDRUM,748,769,0,4.3
Indian Territory,135,HELNSKI,DELHI,8083,9905,463.3,608.4
Indian Territory,136,HO CHI MINH CITY,DELHI,0,0,0,0
Indian Territory,137,HO CHI MINH CITY,MUMBAI,0,0,0,0
Indian Territory,138,HONG KONG,BENGALURU,23237,23028,1216.5,777.1
Indian Territory,139,HONG KONG,CHENNAI,18949,19134,6856.4,3781.6
Indian Territory,140,HONG KONG,DELHI,71280,79409,13382.1,3437.4
Indian Territory,141,HONG KONG,HYDERABAD,9872,11245,895.4,1078.1
Indian Territory,142,HONG KONG,KOLKATA,7634,8594,762.7,447.9
Indian Territory,143,HONG KONG,MUMBAI,59662,60163,4736.6,4134.4
Indian Territory,144,ISTANBUL,DELHI,27308,32584,1505.2,2011.2
Indian Territory,145,ISTANBUL,MUMBAI,28510,32231,1949.1,2507.8
Indian Territory,146,JEDDAH,BENGALURU,7857,8619,97.1,429.9
Indian Territory,147,JEDDAH,CHENNAI,10091,8398,184.5,591.6
Indian Territory,148,JEDDAH,DELHI,28860,27497,481.1,1660.1
Indian Territory,149,JEDDAH,HYDERABAD,28545,23719,48.8,804.7
Indian Territory,150,JEDDAH,KOCHI,50728,41822,108.2,2234.7
Indian Territory,151,JEDDAH,KOZHIKODE,0,0,0,0
Indian Territory,152,JEDDAH,LUCKNOW,16493,14186,0,0
Indian Territory,153,JEDDAH,MUMBAI,61729,59769,259.8,3073.1
Indian Territory,154,KABUL,DELHI,31298,37750,185.4,1203.5
Indian Territory,155,KANDAHAR,DELHI,1313,1572,0,0
Indian Territory,156,KARACHI,DELHI,181,439,0.2,1.3
Indian Territory,157,KARACHI,MUMBAI,369,637,1.2,14.5
Indian Territory,158,KATHMANDU,DELHI,104417,98914,96.5,373.5
Indian Territory,159,KATHMANDU,KOLKATA,5372,5032,0.2,4.2
Indian Territory,160,KATHMANDU,MUMBAI,28220,20458,52.1,25.2
Indian Territory,161,KATHMANDU,VARANASI,166,196,0,0
Indian Territory,162,KIGALI,MUMBAI,3390,3447,0,0
Indian Territory,163,KUALALUMPUR,AMRITSAR,6202,9249,0,0
Indian Territory,164,KUALALUMPUR,BENGALURU,20177,19173,674.8,1015.4
Indian Territory,165,KUALALUMPUR,CHENNAI,22636,22106,1156.2,553
Indian Territory,166,KUALALUMPUR,DELHI,55010,59854,1358.3,1842.9
Indian Territory,167,KUALALUMPUR,HYDERABAD,25310,25909,167.3,158.8
Indian Territory,168,KUALALUMPUR,KOCHI,35696,35414,31.4,58.8
Indian Territory,169,KUALALUMPUR,KOLKATA,8824,9168,85.7,104.9
Indian Territory,170,KUALALUMPUR,MUMBAI,34964,35303,712.4,590.8
Indian Territory,171,KUALALUMPUR,TIRUCHIRAPALLY,87526,82642,0,650.2
Indian Territory,172,KUALALUMPUR,TRIVANDRUM,6298,5488,0,0.4
Indian Territory,173,KUALALUMPUR,VISAKHAPATNAM,6218,5831,79.2,72.7
Indian Territory,174,KUNMING,DELHI,3924,4902,0,0
Indian Territory,175,KUNMING,KOLKATA,8757,9066,109.5,64.1
Indian Territory,176,KUWAIT,AHMEDABAD,7859,8744,1.4,83.9
Indian Territory,177,KUWAIT,BENGALURU,6495,6273,34.4,80.8
Indian Territory,178,KUWAIT,CHENNAI,18736,17034,244.4,1173.2
Indian Territory,179,KUWAIT,DELHI,26198,25359,908.3,987.6
Indian Territory,180,KUWAIT,GOA,2313,2789,1.3,0
Indian Territory,181,KUWAIT,HYDERABAD,1814,1213,0.8,0.5
Indian Territory,182,KUWAIT,KOCHI,19562,18085,177.3,1209.9
Indian Territory,183,KUWAIT,KOZHIKODE,8409,5060,17.4,65.4
Indian Territory,184,KUWAIT,MANGALORE,2597,2437,7.9,0
Indian Territory,185,KUWAIT,MUMBAI,45933,41204,529.3,2981.3
Indian Territory,186,KUWAIT,TRIVANDRUM,8207,7062,10,138.7
Indian Territory,187,LAHORE,DELHI,397,1578,2,4.4
Indian Territory,188,LEIPZIG,BENGALURU,0,0,0,6.3
Indian Territory,189,LEIPZIG,DELHI,0,0,1721.7,3267.2
Indian Territory,190,LONDON,AHMEDABAD,7185,8826,293.4,249.4
Indian Territory,191,LONDON,AMRITSAR,0,0,0,0
Indian Territory,192,LONDON,BENGALURU,20839,23424,769.5,1477
Indian Territory,193,LONDON,CHENNAI,14728,17341,676.8,1166.7
Indian Territory,194,LONDON,DELHI,103132,128317,5045.5,8031.9
Indian Territory,195,LONDON,HYDERABAD,15257,17781,503.7,856.3
Indian Territory,196,LONDON,MUMBAI,104883,121143,5583.3,7788.1
Indian Territory,197,LUXEMBOURG,DELHI,0,0,0,439.5
Indian Territory,198,LUXEMBOURG,MUMBAI,0,0,0,350.5
Indian Territory,199,MADRID,DELHI,6431,7062,56.2,342.2
Indian Territory,200,MALE,BENGALURU,3419,3173,0,120.2
Indian Territory,201,MALE,CHENNAI,1598,1792,0,67.9
Indian Territory,202,MALE,DELHI,3903,4344,0,7.8
Indian Territory,203,MALE,KOCHI,6005,5863,0,31.4
Indian Territory,204,MALE,TRIVANDRUM,12395,12871,1.1,391.6
Indian Territory,205,MALPENSA,DELHI,9270,9538,61.8,410.9
Indian Territory,206,MALPENSA,MUMBAI,0,0,439.4,0
Indian Territory,207,MARUITIUS,BENGALURU,3735,3532,15.3,44.6
Indian Territory,208,MARUITIUS,CHENNAI,2669,3072,16.3,172.4
Indian Territory,209,MARUITIUS,DELHI,7633,8878,12.8,155.9
Indian Territory,210,MARUITIUS,MUMBAI,14500,16022,18.2,326
Indian Territory,211,MEDINA,BENGALURU,1353,0,0,0
Indian Territory,212,MEDINA,DELHI,4487,3018,0,0.2
Indian Territory,213,MEDINA,HYDERABAD,0,0,0,0
Indian Territory,214,MEDINA,MUMBAI,6381,3683,0.1,0.4
Indian Territory,215,MELBOURNE,DELHI,7966,8785,48.9,101
Indian Territory,216,MOSCOW,DELHI,33846,41378,183.4,1866.9
Indian Territory,217,MOSCOW,GOA,8064,10381,0,0
Indian Territory,218,MOSCOW,MUMBAI,0,0,2.2,0
Indian Territory,219,MUENCHEN,DELHI,18763,23934,893.9,1448.4
Indian Territory,220,MUENCHEN,MUMBAI,20274,23381,1218.9,1425.5
Indian Territory,221,MUSCAT,AHMEDABAD,10175,10765,14.4,74.3
Indian Territory,222,MUSCAT,BENGALURU,24215,17485,39,514.2
Indian Territory,223,MUSCAT,CHENNAI,45135,39237,188.4,555.5
Indian Territory,224,MUSCAT,DELHI,58875,51190,319.8,819.9
Indian Territory,225,MUSCAT,GOA,7344,7082,75.6,129.7
Indian Territory,226,MUSCAT,HYDERABAD,39095,32921,12.6,374.6
Indian Territory,227,MUSCAT,JAIPUR,9275,10231,86.6,57.5
Indian Territory,228,MUSCAT,KOCHI,66325,49922,85.3,957.5
Indian Territory,229,MUSCAT,KOZHIKODE,57878,44484,26.3,518.3
Indian Territory,230,MUSCAT,LUCKNOW,26219,21268,282.1,345.4
Indian Territory,231,MUSCAT,MANGALORE,5439,4673,1.5,0.6
Indian Territory,232,MUSCAT,MUMBAI,61321,55754,94.9,1285.2
Indian Territory,233,MUSCAT,TRIVANDRUM,39163,30361,29.2,411.4
Indian Territory,234,NAIROBI,MUMBAI,20445,22754,39.8,29.3
Indian Territory,235,NARITA,DELHI,19566,23914,2056.2,1462.5
Indian Territory,236,NARITA,MUMBAI,10884,11017,0,0
Indian Territory,237,NAVOI,DELHI,0,0,837.5,1019.5
Indian Territory,238,NEW YORK,DELHI,19244,24334,91,304.8
Indian Territory,239,NEW YORK,MUMBAI,1900,3549,226.3,199
Indian Territory,240,NEWARK,AHMEDABAD,1855,3283,0.5,0
Indian Territory,241,NEWARK,DELHI,20705,23545,240.1,873.7
Indian Territory,242,NEWARK,MUMBAI,38656,45852,289.7,466.5
Indian Territory,243,OSAKA,DELHI,1119,1306,140.5,195.2
Indian Territory,244,OSAKA,KOLKATA,0,0,0,0
Indian Territory,245,OSAKA,MUMBAI,359,274,27.3,6.2
Indian Territory,246,PARIS,BENGALURU,15236,14522,874.5,782.8
Indian Territory,247,PARIS,CHENNAI,2219,1560,0,0
Indian Territory,248,PARIS,DELHI,26658,28499,1533.5,1545.4
Indian Territory,249,PARIS,MUMBAI,37172,47147,2109.7,1950.4
Indian Territory,250,PARO,DELHI,9115,9319,0.6,18.5
Indian Territory,251,PARO,KOLKATA,7591,8264,0,3.9
Indian Territory,252,PEKING,DELHI,25316,30084,1456.5,846.1
Indian Territory,253,RANGOON,DELHI,565,730,0,4.6
Indian Territory,254,RANGOON,GAYA,1692,2635,0,0
Indian Territory,255,RANGOON,KOLKATA,737,804,0,26.1
Indian Territory,256,RANGOON,VARANASI,246,195,0,0
Indian Territory,257,RASALKHAMA,KOZHIKODE,3972,3507,0,0
Indian Territory,258,RASALKHAMA,TRIVANDRUM,0,0,0,0
Indian Territory,259,REUNION,CHENNAI,949,1170,0,6.5
Indian Territory,260,RIYADH,BENGALURU,2640,1253,0,176.4
Indian Territory,261,RIYADH,CHENNAI,7902,5422,137,406.4
Indian Territory,262,RIYADH,DELHI,16362,15416,238.9,1002.2
Indian Territory,263,RIYADH,HYDERABAD,12880,10113,39.9,499.6
Indian Territory,264,RIYADH,KOCHI,24541,19117,49.4,1141.3
Indian Territory,265,RIYADH,KOZHIKODE,8437,6873,10.2,141
Indian Territory,266,RIYADH,LUCKNOW,10287,9729,0,0
Indian Territory,267,RIYADH,MUMBAI,33588,32520,464.9,1654.5
Indian Territory,268,RIYADH,TRIVANDRUM,5016,4304,2.2,60.9
Indian Territory,269,ROME,DELHI,7727,8303,25.4,160.2
Indian Territory,270,SALALAH,KOCHI,1178,976,0,0
Indian Territory,271,SALALAH,KOZHIKODE,13329,5678,1.6,124.4
Indian Territory,272,SALALAH,TRIVANDRUM,672,667,0,0
Indian Territory,273,SAN FRANCISCO,BENGALURU,1167,1337,0,0
Indian Territory,274,SAN FRANCISCO,DELHI,11677,15615,40.6,460.2
Indian Territory,275,SEOUL,CHENNAI,0,0,0,0
Indian Territory,276,SEOUL,DELHI,18836,23055,1400.2,637.4
Indian Territory,277,SEOUL,MUMBAI,5253,5703,155.7,157
Indian Territory,278,SEYCHELLES,MUMBAI,8931,9320,2,29
Indian Territory,279,SHANGHAI,DELHI,9765,9213,601.1,180.3
Indian Territory,280,SHANGHAI,MUMBAI,3426,3295,669.8,136.2
Indian Territory,281,SHARJAH,AHMEDABAD,13536,12702,10.6,256.1
Indian Territory,282,SHARJAH,BENGALURU,14514,13076,36.4,197.1
Indian Territory,283,SHARJAH,CHANDIGARH,4228,5332,0,0
Indian Territory,284,SHARJAH,CHENNAI,16327,14501,44.3,238.8
Indian Territory,285,SHARJAH,COIMBATORE,10441,9812,4.1,141.6
Indian Territory,286,SHARJAH,DELHI,28086,27784,161.5,404.4
Indian Territory,287,SHARJAH,GOA,9009,8833,26.3,44.5
Indian Territory,288,SHARJAH,HYDERABAD,14627,13195,7.2,235.5
Indian Territory,289,SHARJAH,JAIPUR,14705,13698,4,131.3
Indian Territory,290,SHARJAH,KOCHI,56341,50782,58,967
Indian Territory,291,SHARJAH,KOZHIKODE,59656,52139,20.3,1114.8
Indian Territory,292,SHARJAH,MANGALORE,0,0,0,0
Indian Territory,293,SHARJAH,MUMBAI,36113,35647,257.4,587.7
Indian Territory,294,SHARJAH,NAGPUR,6682,7509,0.4,25.6
Indian Territory,295,SHARJAH,PUNE,0,0,0,0
Indian Territory,296,SHARJAH,TIRUCHIRAPALLY,13663,10559,1,78.2
Indian Territory,297,SHARJAH,TRIVANDRUM,62395,52714,9.4,1032.7
Indian Territory,298,SHARJAH,VARANASI,13943,12854,0.5,0
Indian Territory,299,SINGAPORE,AHMEDABAD,9906,10868,462.9,783.5
Indian Territory,300,SINGAPORE,AMRITSAR,12363,13485,0.3,43.8
Indian Territory,301,SINGAPORE,BENGALURU,54408,51157,1928.3,1503.3
Indian Territory,302,SINGAPORE,CHENNAI,119076,119138,3532.4,3804.9
Indian Territory,303,SINGAPORE,COIMBATORE,8274,8729,7.1,93.7
Indian Territory,304,SINGAPORE,DELHI,85705,96066,3859.2,3375.8
Indian Territory,305,SINGAPORE,HYDERABAD,30004,27322,220.3,277.1
Indian Territory,306,SINGAPORE,JAIPUR,5276,5482,0,0
Indian Territory,307,SINGAPORE,KOCHI,22103,20789,76.3,256.8
Indian Territory,308,SINGAPORE,KOLKATA,17223,18342,618.2,1126.4
Indian Territory,309,SINGAPORE,LUCKNOW,5332,5671,0,0
Indian Territory,310,SINGAPORE,MUMBAI,111361,113946,4454.9,5947
Indian Territory,311,SINGAPORE,TIRUCHIRAPALLY,45811,42459,1.3,390.4
Indian Territory,312,SINGAPORE,TRIVANDRUM,6453,6570,4.3,43.5
Indian Territory,313,SINGAPORE,VISAKHAPATNAM,3017,3716,7.6,2.3
Indian Territory,314,SYDNEY,DELHI,10021,10764,44.9,147.2
Indian Territory,315,TAIPAE,DELHI,3498,5942,604.7,203.7
Indian Territory,316,TAIPAE,MUMBAI,0,0,252.3,0
Indian Territory,317,TANGERANG,MUMBAI,4087,4154,2.3,73
Indian Territory,318,TASHKENT,AMRITSAR,1816,2793,1,5.9
Indian Territory,319,TASHKENT,DELHI,10712,10356,18.9,535.7
Indian Territory,320,TEHRAN,DELHI,4150,4632,51.3,293.7
Indian Territory,321,TEHRAN,MUMBAI,2227,2131,2.2,11.9
Indian Territory,322,TELAVIV,MUMBAI,4762,5497,291.2,167.8
Indian Territory,323,TOKYO,DELHI,9947,12116,1172,796.6
Indian Territory,324,TORONTO,DELHI,26492,36945,410,407.5
Indian Territory,325,VIENNA,DELHI,5864,7217,216.4,115.7
Indian Territory,326,ZURICH,DELHI,15484,19730,1157.9,1831.8
Indian Territory,327,ZURICH,MUMBAI,16987,19988,1410.7,1691.3
Indian Territory,328,SUB TOTAL,SUB TOTAL,7351315,7245837,172417,263967.2
Entirely outside the Indian Territory,1,HONG KONG,SEOUL,5717,6587,81.3,222.8
Entirely outside the Indian Territory,2,HONG KONG,OSAKA,4337,4479,64.2,157.3
Entirely outside the Indian Territory,3,AMSTERDAM,TORONTO,15030,12884,951.4,271.4
Entirely outside the Indian Territory,4,BAHRAIN,KUWAIT,25,0,0,0
Entirely outside the Indian Territory,5,NEWARK,LONDON,5111,5709,0,2.1
Entirely outside the Indian Territory,6,DHAKA,SINGAPORE,382,448,0,0
Entirely outside the Indian Territory,7,DHAKA,DUBAI,226,0,0,0
Entirely outside the Indian Territory,8,SUB TOTAL,SUB TOTAL,30828,30107,1097,653.5
GRAND TOTAL,GRAND TOTAL,GRAND TOTAL,GRAND TOTAL,7382143,7275944,173514,264620.7
